,alpha,lambda,kl_divergence,recommendations,time
185,0.21,0.85,0.1803868106013665,"[hotel122734, hotel177679, hotel26177, hotel17674, hotel2, hotel14697, hotel14, hotel1099, hotel49, hotel9505]",105.24759221076965
186,0.23,0.85,0.30138563309367317,"[hotel13206, hotel148622, hotel14697, hotel5487, hotel2, hotel26177, hotel14, hotel119583, hotel49, hotel1099]",99.94218707084656
187,0.25,0.85,0.30138563309367317,"[hotel13206, hotel148622, hotel14697, hotel5487, hotel2, hotel26177, hotel14, hotel119583, hotel49, hotel1099]",100.07439303398132
188,0.27,0.85,0.5758165020017755,"[hotel13206, hotel148622, hotel14697, hotel2, hotel5487, hotel26177, hotel14, hotel1099, hotel49, hotel23]",100.42166304588318
189,0.29,0.85,0.5758165020017755,"[hotel13206, hotel148622, hotel14697, hotel2, hotel5487, hotel26177, hotel14, hotel1099, hotel49, hotel23]",102.98361897468567
190,0.31,0.85,0.5758165020017755,"[hotel13206, hotel148622, hotel14697, hotel2, hotel5487, hotel26177, hotel14, hotel49, hotel1099, hotel23]",102.93918013572693
191,0.33,0.85,0.5758165020017755,"[hotel13206, hotel148622, hotel14697, hotel2, hotel5487, hotel26177, hotel14, hotel49, hotel1099, hotel23]",104.74947309494019
192,0.35,0.85,0.5758165020017755,"[hotel13206, hotel148622, hotel14697, hotel2, hotel5487, hotel26177, hotel14, hotel49, hotel1099, hotel23]",97.0054817199707
193,0.37,0.85,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel26177, hotel9505, hotel14, hotel23, hotel1099, hotel49]",94.51017165184021
194,0.39,0.85,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel26177, hotel9505, hotel14, hotel23, hotel49, hotel1099]",93.75785231590271
195,0.41,0.85,0.6216295174449722,"[hotel13206, hotel148622, hotel14697, hotel2, hotel26177, hotel9505, hotel14, hotel23, hotel49, hotel1099]",96.91565895080566
196,0.43,0.85,0.7560742158856806,"[hotel13206, hotel148622, hotel14697, hotel2, hotel26177, hotel9505, hotel14, hotel23, hotel49, hotel11]",100.92056584358215
197,0.45,0.85,0.7985386482472077,"[hotel26177, hotel2, hotel14697, hotel123053, hotel36, hotel14, hotel1099, hotel23, hotel49, hotel9505]",99.17314553260803
198,0.47,0.85,0.8890594948252593,"[hotel26177, hotel2, hotel14697, hotel123053, hotel36, hotel14, hotel1099, hotel23, hotel49, hotel11]",98.01110124588013
199,0.49,0.85,0.8890594948252593,"[hotel26177, hotel2, hotel14697, hotel123053, hotel36, hotel14, hotel23, hotel1099, hotel49, hotel11]",98.69349503517151
200,0.01,0.9,0.035925365628109815,"[hotel122734, hotel177679, hotel56085, hotel119583, hotel2, hotel14697, hotel26177, hotel36, hotel26461, hotel5487]",103.71268391609192
201,0.03,0.9,0.035925365628109815,"[hotel122734, hotel177679, hotel56085, hotel119583, hotel2, hotel14697, hotel26177, hotel36, hotel26461, hotel5487]",102.87312245368958
202,0.05,0.9,0.035925365628109815,"[hotel122734, hotel177679, hotel56085, hotel119583, hotel2, hotel14697, hotel26177, hotel36, hotel26461, hotel5487]",103.4438545703888
203,0.07,0.9,0.04929714214346444,"[hotel122734, hotel177679, hotel56085, hotel119583, hotel2, hotel14697, hotel26177, hotel14, hotel26461, hotel5487]",106.60878729820251
204,0.09,0.9,0.05042775212774171,"[hotel122734, hotel177679, hotel26177, hotel169307, hotel2, hotel14697, hotel1099, hotel14, hotel26461, hotel5487]",103.91771864891052
